 0 -> 3 , weight = 4
 0 -> 5 , weight = 10
 0 -> 9 , weight = 3
 1 -> 2 , weight = 3
 1 -> 4 , weight = 6
 1 -> 7 , weight = 5
 2 -> 0 , weight = 1
 2 -> 3 , weight = 10
 2 -> 4 , weight = 7
 2 -> 5 , weight = 3
 2 -> 6 , weight = 8
 3 -> 8 , weight = 3
 3 -> 9 , weight = 4
 3 -> 14 , weight = 7
 4 -> 9 , weight = 4
 5 -> 8 , weight = 5
 5 -> 10 , weight = 3
 5 -> 14 , weight = 8
 6 -> 7 , weight = 1
 6 -> 11 , weight = 6
 6 -> 13 , weight = 4
 6 -> 14 , weight = 8
 7 -> 8 , weight = 3
 7 -> 14 , weight = 8
 8 -> 14 , weight = 4
 9 -> 12 , weight = 5
 9 -> 13 , weight = 6
 9 -> 14 , weight = 4
 10 -> 20 , weight = 10
 11 -> 14 , weight = 3
 11 -> 18 , weight = 6
 11 -> 19 , weight = 9
 12 -> 18 , weight = 7
 12 -> 20 , weight = 4
 13 -> 15 , weight = 3
 13 -> 17 , weight = 5
 13 -> 18 , weight = 6
 13 -> 20 , weight = 4
 14 -> 20 , weight = 9
 15 -> 22 , weight = 9
 15 -> 25 , weight = 5
 15 -> 29 , weight = 3
 16 -> 21 , weight = 6
 16 -> 22 , weight = 4
 16 -> 28 , weight = 9
 17 -> 16 , weight = 5
 17 -> 23 , weight = 10
 17 -> 27 , weight = 3
 18 -> 22 , weight = 7
 18 -> 28 , weight = 9
 19 -> 16 , weight = 4
 19 -> 28 , weight = 5
 20 -> 21 , weight = 8
 20 -> 22 , weight = 10
 20 -> 23 , weight = 4
 20 -> 24 , weight = 7
 20 -> 27 , weight = 7
 20 -> 28 , weight = 8
 20 -> 29 , weight = 6
 21 -> 26 , weight = 1
 21 -> 28 , weight = 1
 21 -> 32 , weight = 4
 22 -> 25 , weight = 4
 22 -> 33 , weight = 8
 22 -> 34 , weight = 6
 23 -> 30 , weight = 9
 23 -> 32 , weight = 10
 23 -> 34 , weight = 6
 24 -> 34 , weight = 3
 25 -> 28 , weight = 3
 26 -> 30 , weight = 9
 26 -> 31 , weight = 8
 26 -> 32 , weight = 3
 26 -> 34 , weight = 5
 27 -> 23 , weight = 5
 27 -> 25 , weight = 2
 27 -> 31 , weight = 5
 27 -> 33 , weight = 6
 28 -> 32 , weight = 9
 29 -> 31 , weight = 9
 29 -> 32 , weight = 6
