 0 -> 2 , weight = 4
 0 -> 3 , weight = 8
 0 -> 5 , weight = 4
 1 -> 6 , weight = 8
 1 -> 7 , weight = 4
 2 -> 4 , weight = 7
 2 -> 5 , weight = 7
 2 -> 6 , weight = 9
 2 -> 7 , weight = 9
 3 -> 13 , weight = 9
 4 -> 3 , weight = 2
 4 -> 5 , weight = 5
 4 -> 9 , weight = 3
 4 -> 13 , weight = 3
 5 -> 8 , weight = 4
 5 -> 12 , weight = 5
 6 -> 9 , weight = 4
 6 -> 10 , weight = 4
 6 -> 12 , weight = 5
 7 -> 8 , weight = 3
 7 -> 9 , weight = 4
 7 -> 11 , weight = 4
 7 -> 12 , weight = 4
 8 -> 14 , weight = 8
 8 -> 15 , weight = 4
 8 -> 16 , weight = 3
 8 -> 18 , weight = 4
 8 -> 20 , weight = 3
 9 -> 12 , weight = 4
 9 -> 14 , weight = 8
 9 -> 16 , weight = 3
 9 -> 18 , weight = 10
 9 -> 20 , weight = 5
 10 -> 14 , weight = 4
 10 -> 15 , weight = 4
 11 -> 10 , weight = 2
 11 -> 12 , weight = 4
 11 -> 13 , weight = 4
 11 -> 15 , weight = 9
 11 -> 16 , weight = 8
 11 -> 18 , weight = 4
 11 -> 19 , weight = 10
 11 -> 20 , weight = 5
 12 -> 10 , weight = 3
 12 -> 15 , weight = 5
 12 -> 17 , weight = 9
 12 -> 20 , weight = 10
 13 -> 15 , weight = 4
 13 -> 16 , weight = 5
 13 -> 19 , weight = 10
 14 -> 16 , weight = 5
 14 -> 20 , weight = 3
 14 -> 21 , weight = 5
 14 -> 22 , weight = 10
 14 -> 23 , weight = 8
 14 -> 25 , weight = 6
 15 -> 16 , weight = 3
 15 -> 25 , weight = 10
 16 -> 24 , weight = 4
 17 -> 21 , weight = 5
 17 -> 22 , weight = 8
 17 -> 24 , weight = 7
 17 -> 25 , weight = 5
 18 -> 22 , weight = 5
 18 -> 23 , weight = 3
 18 -> 24 , weight = 6
 18 -> 25 , weight = 7
 19 -> 20 , weight = 5
 19 -> 22 , weight = 8
 20 -> 21 , weight = 3
 20 -> 22 , weight = 10
 20 -> 23 , weight = 10
 21 -> 30 , weight = 3
 22 -> 26 , weight = 9
 22 -> 28 , weight = 8
 23 -> 27 , weight = 10
 24 -> 22 , weight = 2
 24 -> 29 , weight = 6
 24 -> 30 , weight = 7
 25 -> 23 , weight = 3
 25 -> 26 , weight = 7
 25 -> 28 , weight = 8
 25 -> 30 , weight = 3
 26 -> 31 , weight = 6
 27 -> 32 , weight = 10
 27 -> 35 , weight = 8
 28 -> 34 , weight = 9
 29 -> 26 , weight = 1
 29 -> 32 , weight = 3
 29 -> 35 , weight = 3
 30 -> 35 , weight = 6
