 1 -> 3 , weight = 7
 1 -> 4 , weight = 5
 1 -> 10 , weight = 8
 3 -> 9 , weight = 4
 3 -> 13 , weight = 3
 3 -> 14 , weight = 9
 4 -> 11 , weight = 4
 5 -> 11 , weight = 7
 5 -> 12 , weight = 3
 5 -> 14 , weight = 5
 6 -> 9 , weight = 4
 6 -> 13 , weight = 9
 7 -> 5 , weight = 5
 8 -> 14 , weight = 4
 9 -> 13 , weight = 5
 9 -> 14 , weight = 10
 9 -> 15 , weight = 9
 10 -> 8 , weight = 2
 10 -> 13 , weight = 10
 11 -> 16 , weight = 7
 11 -> 19 , weight = 3
 12 -> 19 , weight = 7
 12 -> 20 , weight = 10
 13 -> 17 , weight = 7
 13 -> 19 , weight = 6
 13 -> 20 , weight = 5
 14 -> 16 , weight = 9
 15 -> 14 , weight = 1
 15 -> 18 , weight = 7
 15 -> 19 , weight = 7
 15 -> 21 , weight = 9
 16 -> 21 , weight = 4
 16 -> 22 , weight = 6
 16 -> 23 , weight = 9
 17 -> 16 , weight = 4
 17 -> 21 , weight = 5
 18 -> 26 , weight = 4
 19 -> 21 , weight = 3
 19 -> 24 , weight = 5
 20 -> 18 , weight = 3
 20 -> 19 , weight = 4
 20 -> 21 , weight = 2
 20 -> 22 , weight = 7
 22 -> 27 , weight = 9
 22 -> 30 , weight = 8
 23 -> 25 , weight = 5
 23 -> 27 , weight = 7
 24 -> 27 , weight = 7
 24 -> 30 , weight = 5
 25 -> 30 , weight = 5
